Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1650	1	0	SO_2743	-125.3	6.08
1651	2	0	SO_2743	-125.3	6.08
1652	2	0	SO_2743	-125.3	6.08
1653	1	0	SO_0425	-123.5	6.01
1654	1	0	SO_0425	-123.5	6.01
1655	1	0	SO_0425	-123.5	6.01
1656	2	0	SO_0425	-123.5	6.01
1657	2	0	SO_0425	-123.5	6.01
1658	2	0	SO_0425	-123.5	6.01
1659	2	0	SO_0425	-123.5	6.01
1660	2	0	SO_0425	-123.5	6.01
1661	2	0	SO_0425	-123.5	6.01
1662	2	0	SO_0425	-123.5	6.01
1663	2	0	SO_0425	-123.5	6.01
1664	2	0	SO_0425	-123.5	6.01
1665	1	0	SO_1926	-122.2	7.01
1666	2	0	SO_1926	-122.2	7.01
1667	2	0	SO_1926	-122.2	7.01
1668	2	0	SO_1926	-122.2	7.01
1669	2	0	SO_1926	-122.2	7.01
1670	1	0	SO_1926	-122.2	7.01
1671	1	0	SO_1926	-122.2	7.01
1672	2	0	SO_1926	-122.2	7.01
1673	1	0	SO_1926	-122.2	7.01
1674	1	0	SO_1926	-122.2	7.01
1675	2	0	SO_1926	-122.2	7.01
1676	2	0	SO_1926	-122.2	7.01
1677	2	0	SO_1926	-122.2	7.01
1678	2	0	SO_1926	-122.2	7.01
1679	2	2	SO_1926	-122.2	7.01
1680	1	0	SO_2881	-121.4	6.20
1681	1	0	SO_2881	-121.4	6.20
1682	2	0	SO_2881	-121.4	6.20
1683	2	0	SO_2881	-121.4	6.20
1684	2	0	SO_2881	-121.4	6.20
1685	1	0	SO_2881	-121.4	6.20
1686	2	0	SO_2881	-121.4	6.20
1687	1	0	SO_2881	-121.4	6.20
1688	2	0	SO_2881	-121.4	6.20
1689	2	0	SO_2881	-121.4	6.20
1690	1	0	SO_2881	-121.4	6.20
1691	2	2	SO_2881	-121.4	6.20
1692	2	0	SO_1928	-119.2	6.09
1693	1	0	SO_1928	-119.2	6.09
1694	2	0	SO_1928	-119.2	6.09
1695	2	0	SO_1928	-119.2	6.09
1696	2	0	SO_1928	-119.2	6.09
1697	1	0	SO_1928	-119.2	6.09
1698	1	0	SO_1928	-119.2	6.09
1699	2	0	SO_1928	-119.2	6.09
1700	2	0	SO_1928	-119.2	6.09
1701	2	0	SO_1928	-119.2	6.09
1702	2	0	SO_1928	-119.2	6.09
1703	2	0	SO_1928	-119.2	6.09
1704	2	0	SO_1928	-119.2	6.09
1705	2	0	SO_4105	-116.6	6.79
