Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1	2	0	SO_0704	-553.4	8.00
2	2	0	SO_0704	-553.4	8.00
3	1	0	SO_0704	-553.4	8.00
4	1	0	SO_0704	-553.4	8.00
5	2	0	SO_0704	-553.4	8.00
6	1	0	SO_0704	-553.4	8.00
7	2	0	SO_0704	-553.4	8.00
8	2	0	SO_0704	-553.4	8.00
9	2	0	SO_0704	-553.4	8.00
10	2	0	SO_0704	-553.4	8.00
11	2	0	SO_0704	-553.4	8.00
12	2	0	SO_0704	-553.4	8.00
13	1	0	SO_0704	-553.4	8.00
14	2	0	SO_0704	-553.4	8.00
15	2	0	SO_0704	-553.4	8.00
16	2	0	SO_0704	-553.4	8.00
17	2	0	SO_0704	-553.4	8.00
18	2	0	SO_0704	-553.4	8.00
19	1	0	SO_0704	-553.4	8.00
20	1	0	SO_0704	-553.4	8.00
21	2	0	SO_0704	-553.4	8.00
22	1	0	SO_0704	-553.4	8.00
23	2	0	SO_0704	-553.4	8.00
24	2	0	SO_0704	-553.4	8.00
25	2	0	SO_0704	-553.4	8.00
26	2	0	SO_0704	-553.4	8.00
27	2	0	SO_0704	-553.4	8.00
28	2	0	SO_0704	-553.4	8.00
29	2	0	SO_0704	-553.4	8.00
30	1	0	SO_0704	-553.4	8.00
31	2	0	SO_0704	-553.4	8.00
32	2	0	SO_0704	-553.4	8.00
33	2	0	SO_0704	-553.4	8.00
34	1	0	SO_0704	-553.4	8.00
35	1	0	SO_0704	-553.4	8.00
36	2	0	SO_0704	-553.4	8.00
37	2	0	SO_0704	-553.4	8.00
38	2	0	SO_0704	-553.4	8.00
39	1	0	SO_0704	-553.4	8.00
40	2	0	SO_0704	-553.4	8.00
41	2	0	SO_0704	-553.4	8.00
42	1	0	SO_0704	-553.4	8.00
43	2	0	SO_0704	-553.4	8.00
44	1	0	SO_0704	-553.4	8.00
45	2	0	SO_0704	-553.4	8.00
46	2	0	SO_0704	-553.4	8.00
47	1	0	SO_0704	-553.4	8.00
48	1	0	SO_0704	-553.4	8.00
49	2	2	SO_0704	-553.4	8.00
50	2	0	SO_2427	-511.8	7.77
51	2	0	SO_2427	-511.8	7.77
52	2	0	SO_2427	-511.8	7.77
53	2	0	SO_2427	-511.8	7.77
54	2	0	SO_2427	-511.8	7.77
55	2	0	SO_2427	-511.8	7.77
56	2	0	SO_2427	-511.8	7.77
57	2	0	SO_2427	-511.8	7.77
58	2	0	SO_2427	-511.8	7.77
59	2	0	SO_2427	-511.8	7.77
60	1	0	SO_2427	-511.8	7.77
61	2	0	SO_2427	-511.8	7.77
62	2	0	SO_2427	-511.8	7.77
63	2	0	SO_2427	-511.8	7.77
64	2	0	SO_2427	-511.8	7.77
65	2	0	SO_2427	-511.8	7.77
66	2	0	SO_2427	-511.8	7.77
67	2	0	SO_2427	-511.8	7.77
68	2	0	SO_2427	-511.8	7.77
69	2	0	SO_2427	-511.8	7.77
70	1	0	SO_2427	-511.8	7.77
71	2	0	SO_2427	-511.8	7.77
72	1	0	SO_2427	-511.8	7.77
73	2	0	SO_2427	-511.8	7.77
74	2	0	SO_2427	-511.8	7.77
75	2	0	SO_2427	-511.8	7.77
76	2	0	SO_2427	-511.8	7.77
77	1	0	SO_2427	-511.8	7.77
78	2	0	SO_2427	-511.8	7.77
79	2	0	SO_2427	-511.8	7.77
80	1	0	SO_2427	-511.8	7.77
81	1	0	SO_2427	-511.8	7.77
82	2	0	SO_2427	-511.8	7.77
83	2	0	SO_2427	-511.8	7.77
84	2	0	SO_2427	-511.8	7.77
85	2	0	SO_2427	-511.8	7.77
86	2	0	SO_2427	-511.8	7.77
87	1	0	SO_2427	-511.8	7.77
88	1	0	SO_2427	-511.8	7.77
89	2	0	SO_2427	-511.8	7.77
90	1	0	SO_2427	-511.8	7.77
91	1	0	SO_2427	-511.8	7.77
92	2	0	SO_2427	-511.8	7.77
93	1	0	SO_2427	-511.8	7.77
94	2	0	SO_2427	-511.8	7.77
95	2	2	SO_2427	-511.8	7.77
96	0	2	SO_2427	-511.8	7.77
97	0	2	SO_2427	-511.8	7.77
98	1	0	SO_0224	-507.2	7.78
99	2	0	SO_0224	-507.2	7.78
100	2	0	SO_0224	-507.2	7.78
101	2	0	SO_0224	-507.2	7.78
102	2	0	SO_0224	-507.2	7.78
103	2	0	SO_0224	-507.2	7.78
104	2	0	SO_0224	-507.2	7.78
105	2	0	SO_0224	-507.2	7.78
106	2	0	SO_0224	-507.2	7.78
107	2	0	SO_0224	-507.2	7.78
108	1	0	SO_0224	-507.2	7.78
109	2	0	SO_0224	-507.2	7.78
110	2	0	SO_0224	-507.2	7.78
111	2	0	SO_0224	-507.2	7.78
112	2	0	SO_0224	-507.2	7.78
113	1	0	SO_0224	-507.2	7.78
114	2	0	SO_0224	-507.2	7.78
115	2	0	SO_0224	-507.2	7.78
116	2	0	SO_0224	-507.2	7.78
117	2	0	SO_0224	-507.2	7.78
118	2	0	SO_0224	-507.2	7.78
119	1	0	SO_0224	-507.2	7.78
120	1	0	SO_0224	-507.2	7.78
121	1	0	SO_0224	-507.2	7.78
122	2	0	SO_0224	-507.2	7.78
123	2	0	SO_0224	-507.2	7.78
124	1	0	SO_0224	-507.2	7.78
