Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		1005.4879085
2	0		1312.7536239
3	0		1181.7131445
4	0		1068.6290864
5	0		948.5279855
6	0		861.4959614
7	0		2009.9437181
8	0		2387.2178768
9	0		1216.5943546
10	0		1372.6954555
11	2	Plus1Oxy:6,Plus1Oxy:9	1248.5841546
12	1	Plus1Oxy:6	1232.5892546
13	0		1145.5572445
14	0		983.6014802
15	0		2617.3267650
16	0		3189.5498170
17	0		2905.3649921
18	0		3176.6432530
19	0		2834.4529506
20	0		2624.4212605
21	0		1194.7223143
22	0		995.5902487
23	0		2751.4839262
24	0		874.4409031
25	0		2740.4930960
26	0		3740.0167212
27	0		3896.1178221
28	0		2612.3981406
29	0		3768.0228667
30	0		3409.8441762
31	0		1173.6352894
32	0		1943.9183633
33	0		826.5275940
34	0		713.4435360
35	0		1543.8642861
36	0		1033.5113451
37	0		1237.6526663
38	0		1010.5144552
39	0		1210.6193060
40	0		1592.8885230
41	0		1329.6411583
42	0		1216.5571002
43	0		1813.9169122
44	0		1685.8583414
45	0		2966.2697136
46	0		3322.4868967
47	0		1873.9892151
48	0		1786.9571909
49	0		1729.6059820
50	0		2256.1782672
51	0		1858.9345373
52	1	Plus1Oxy:3	1874.9294373
53	0		884.5443029
54	0		2530.2630617
55	0		2374.1619608
56	0		2730.5166074
57	0		2602.4216520
58	0		2148.1425397
59	0		2020.0475842
60	0		4540.0610289
61	0		3258.6267559
62	0		3102.5256550
63	0		2377.1436567
64	0		1114.5770525
65	0		2370.0399229
66	0		2526.1410238
67	0		3067.5507616
68	0		2911.4496607
69	0		2911.4496607
70	0		1039.4643971
71	0		2755.3485598
72	0		1438.6397757
73	0		1551.8480546
74	0		1395.7469537
75	0		943.4657332
76	0		1310.5890669
77	0		1197.5050089
78	0		3094.4816848
79	0		3706.6805574
80	0		2305.0247983
81	0		1082.5131191
82	0		3850.8800470
83	0		4084.8773858
84	0		1019.5763270
85	0		1152.6025972
86	0		2307.9701316
87	0		1694.7647795
88	0		1439.5952698
89	0		2292.0003707
90	0		2073.9278671
91	0		1674.8001045
92	0		2875.4350600
93	0		1218.6455187
94	0		3008.4725615
95	0		1083.5963942
96	0		982.5487208
97	0		869.4646627
98	0		974.5297131
